	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
KRTAP3-2	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	18.0
KRTAP3-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	20.0
KRTAP4-1	0.0	0.0	4.0	1.0	0.0	5.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0	29.0
KRTAP4-11	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	6.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	14.0	0.0	0.0	44.0
KRTAP4-12	0.0	2.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	4.0	0.0	2.0	0.0	6.0	0.0	0.0	38.0
KRTAP4-2	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	4.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	32.0
KRTAP4-3	0.0	2.0	1.0	1.0	0.0	10.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	8.0	0.0	0.0	36.0
KRTAP4-4	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	22.0
KRTAP4-5	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	26.0
KRTAP4-7	0.0	1.0	0.0	1.0	0.0	5.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	28.0
KRTAP4-8	0.0	0.0	1.0	4.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	28.0
KRTAP4-9	0.0	2.0	3.0	0.0	0.0	5.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	6.0	0.0	0.0	0.0	0.0	9.0	0.0	1.0	46.0
KRTAP5-1	0.0	3.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	7.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	10.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	47.0
KRTAP5-10	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	18.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	58.0
KRTAP5-11	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	30.0
KRTAP5-2	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	25.0
KRTAP5-3	0.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	3.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	13.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	51.0
KRTAP5-4	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	7.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	19.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	52.0
KRTAP5-5	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	9.0	3.0	0.0	1.0	0.0	9.0	1.0	0.0	44.0
KRTAP5-6	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	1.0	0.0	5.0	0.0	0.0	27.0
KRTAP5-7	0.0	2.0	1.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	5.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	26.0
KRTAP5-8	0.0	1.0	2.0	1.0	0.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	7.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	40.0
KRTAP5-9	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	1.0	0.0	10.0	0.0	0.0	30.0
KRTAP6-1	0.0	0.0	3.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	32.0
KRTAP6-2	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	36.0
KRTAP6-3	0.0	0.0	2.0	1.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	33.0
KRTAP7-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KRTAP8-1	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	2.0	0.0	1.0	0.0	4.0	0.0	0.0	22.0
KRTAP9-2	0.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	38.0
KRTAP9-3	0.0	0.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	9.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	1.0	0.0	4.0	0.0	1.0	36.0
KRTAP9-4	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	22.0
KRTAP9-8	1.0	4.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0	31.0
KRTAP9-9	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	30.0
KRTCAP2	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0
KRTCAP3	0.0	2.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	7.0	0.0	0.0	29.0
KRTDAP	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	9.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	24.0
KSR1	0.0	4.0	7.0	3.0	0.0	14.0	0.0	3.0	2.0	6.0	0.0	0.0	3.0	0.0	4.0	2.0	15.0	4.0	1.0	2.0	1.0	0.0	2.0	0.0	2.0	19.0	10.0	0.0	1.0	0.0	38.0	0.0	0.0	143.0
KSR2	0.0	10.0	8.0	1.0	0.0	21.0	0.0	3.0	10.0	13.0	0.0	3.0	1.0	1.0	4.0	3.0	12.0	12.0	0.0	4.0	3.0	0.0	3.0	4.0	2.0	58.0	22.0	0.0	2.0	0.0	44.0	0.0	0.0	244.0
KTI12	0.0	3.0	2.0	3.0	1.0	2.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	10.0	1.0	0.0	46.0
KTN1	1.0	9.0	7.0	9.0	0.0	13.0	1.0	3.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	6.0	13.0	8.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	24.0	8.0	0.0	0.0	0.0	41.0	1.0	1.0	157.0
KXD1	0.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	22.0
KY	1.0	3.0	3.0	2.0	0.0	3.0	1.0	2.0	1.0	5.0	0.0	0.0	1.0	2.0	1.0	4.0	8.0	12.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	17.0	10.0	0.0	0.0	0.0	20.0	0.0	0.0	99.0
KYAT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYAT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KYNU	0.0	2.0	4.0	0.0	1.0	4.0	0.0	0.0	3.0	9.0	2.0	1.0	1.0	0.0	0.0	3.0	15.0	8.0	1.0	2.0	1.0	1.0	2.0	3.0	3.0	26.0	12.0	0.0	1.0	0.0	26.0	2.0	0.0	133.0
L1CAM	1.0	7.0	10.0	7.0	0.0	10.0	0.0	2.0	8.0	8.0	0.0	3.0	0.0	0.0	5.0	5.0	42.0	16.0	0.0	4.0	2.0	0.0	6.0	2.0	2.0	28.0	16.0	0.0	0.0	0.0	48.0	2.0	0.0	234.0
L1TD1	1.0	4.0	5.0	6.0	1.0	13.0	0.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	9.0	5.0	0.0	6.0	0.0	0.0	1.0	2.0	2.0	30.0	4.0	0.0	1.0	0.0	39.0	1.0	0.0	139.0
L2HGDH	0.0	5.0	3.0	4.0	0.0	3.0	0.0	1.0	1.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	1.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	8.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	64.0
L3HYPDH	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	34.0
L3MBTL1	1.0	9.0	6.0	2.0	0.0	11.0	0.0	0.0	3.0	4.0	0.0	0.0	1.0	1.0	1.0	3.0	12.0	10.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	22.0	13.0	0.0	0.0	0.0	24.0	0.0	0.0	129.0
L3MBTL2	1.0	5.0	4.0	2.0	0.0	9.0	0.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	3.0	3.0	2.0	4.0	0.0	3.0	3.0	0.0	2.0	0.0	1.0	17.0	9.0	0.0	1.0	0.0	24.0	1.0	0.0	101.0
L3MBTL3	0.0	8.0	8.0	4.0	0.0	9.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	0.0	0.0	4.0	10.0	11.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	21.0	6.0	0.0	1.0	3.0	32.0	2.0	0.0	138.0
L3MBTL4	1.0	5.0	6.0	2.0	0.0	12.0	1.0	6.0	3.0	5.0	0.0	3.0	0.0	1.0	1.0	3.0	8.0	10.0	0.0	2.0	1.0	0.0	2.0	3.0	1.0	37.0	10.0	0.0	1.0	0.0	25.0	0.0	0.0	149.0
LACC1	0.0	3.0	2.0	3.0	0.0	5.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	1.0	1.0	1.0	7.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	12.0	0.0	0.0	66.0
LACE1	1.0	4.0	3.0	3.0	0.0	5.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	5.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0	15.0	0.0	0.0	68.0
LACRT	1.0	0.0	2.0	1.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	4.0	5.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	10.0	2.0	0.0	0.0	0.0	9.0	1.0	0.0	47.0
LACTB	1.0	3.0	3.0	3.0	0.0	5.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	2.0	4.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	4.0	2.0	1.0	0.0	0.0	17.0	0.0	0.0	61.0
LACTB2	0.0	3.0	3.0	2.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0	51.0
LAD1	0.0	5.0	1.0	0.0	0.0	5.0	0.0	2.0	1.0	3.0	0.0	4.0	1.0	0.0	2.0	2.0	10.0	1.0	0.0	2.0	0.0	0.0	2.0	4.0	2.0	34.0	7.0	0.0	0.0	0.0	16.0	0.0	0.0	104.0
LAG3	1.0	2.0	2.0	1.0	0.0	5.0	0.0	1.0	0.0	4.0	0.0	1.0	3.0	0.0	0.0	3.0	4.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	12.0	2.0	0.0	0.0	0.0	17.0	0.0	0.0	66.0
LAGE3	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	19.0
LAIR1	0.0	4.0	3.0	1.0	0.0	4.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	10.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	15.0	7.0	0.0	0.0	0.0	13.0	0.0	0.0	79.0
LAIR2	0.0	2.0	3.0	2.0	1.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	7.0	5.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	51.0
LALBA	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	23.0
LAMA1	5.0	27.0	28.0	14.0	2.0	43.0	2.0	17.0	20.0	26.0	1.0	4.0	4.0	2.0	4.0	18.0	60.0	42.0	0.0	13.0	5.0	0.0	5.0	7.0	5.0	76.0	61.0	0.0	1.0	1.0	75.0	1.0	2.0	571.0
LAMA2	4.0	29.0	23.0	10.0	0.0	44.0	0.0	5.0	11.0	39.0	0.0	8.0	3.0	2.0	8.0	8.0	72.0	66.0	0.0	13.0	2.0	0.0	4.0	6.0	7.0	102.0	40.0	1.0	0.0	1.0	88.0	1.0	1.0	598.0
LAMA3	2.0	36.0	19.0	8.0	2.0	35.0	3.0	3.0	9.0	18.0	1.0	5.0	8.0	3.0	9.0	9.0	30.0	19.0	0.0	12.0	1.0	3.0	9.0	4.0	4.0	86.0	28.0	1.0	2.0	0.0	68.0	1.0	1.0	439.0
LAMA4	1.0	24.0	16.0	7.0	1.0	33.0	0.0	3.0	5.0	24.0	1.0	8.0	3.0	1.0	3.0	2.0	42.0	32.0	1.0	5.0	2.0	0.0	5.0	4.0	3.0	36.0	29.0	0.0	5.0	0.0	49.0	1.0	0.0	346.0
LAMA5	2.0	20.0	9.0	13.0	1.0	37.0	2.0	11.0	10.0	17.0	0.0	4.0	3.0	1.0	5.0	10.0	35.0	24.0	2.0	3.0	1.0	0.0	3.0	10.0	6.0	79.0	34.0	3.0	3.0	0.0	54.0	2.0	0.0	404.0
LAMB1	0.0	14.0	14.0	5.0	0.0	18.0	2.0	5.0	3.0	9.0	1.0	6.0	4.0	3.0	3.0	6.0	35.0	16.0	0.0	11.0	1.0	0.0	7.0	3.0	2.0	34.0	17.0	0.0	2.0	0.0	53.0	1.0	0.0	275.0
LAMB2	0.0	11.0	12.0	8.0	0.0	18.0	0.0	3.0	5.0	6.0	0.0	2.0	3.0	3.0	2.0	6.0	15.0	15.0	0.0	6.0	2.0	1.0	2.0	4.0	2.0	31.0	23.0	0.0	0.0	0.0	54.0	0.0	0.0	234.0
LAMB3	1.0	12.0	13.0	4.0	1.0	15.0	0.0	2.0	6.0	5.0	0.0	1.0	3.0	0.0	1.0	7.0	22.0	10.0	0.0	4.0	2.0	0.0	2.0	3.0	3.0	38.0	22.0	1.0	1.0	0.0	37.0	1.0	0.0	217.0
LAMB4	1.0	15.0	20.0	4.0	0.0	15.0	0.0	6.0	6.0	17.0	1.0	5.0	3.0	0.0	4.0	5.0	46.0	24.0	0.0	6.0	1.0	0.0	2.0	5.0	3.0	64.0	23.0	0.0	1.0	1.0	55.0	1.0	0.0	334.0
LAMC1	0.0	11.0	14.0	8.0	0.0	17.0	0.0	3.0	6.0	12.0	0.0	5.0	3.0	1.0	2.0	5.0	25.0	20.0	0.0	10.0	1.0	1.0	4.0	2.0	3.0	26.0	20.0	0.0	1.0	0.0	47.0	2.0	0.0	249.0
LAMC2	1.0	6.0	7.0	3.0	0.0	13.0	0.0	1.0	4.0	6.0	0.0	6.0	1.0	0.0	3.0	6.0	13.0	8.0	1.0	5.0	0.0	0.0	1.0	3.0	2.0	33.0	11.0	0.0	1.0	0.0	33.0	0.0	0.0	168.0
LAMC3	1.0	12.0	8.0	7.0	0.0	32.0	0.0	4.0	5.0	7.0	0.0	5.0	2.0	0.0	1.0	5.0	26.0	17.0	0.0	7.0	1.0	1.0	1.0	3.0	1.0	31.0	20.0	0.0	2.0	1.0	51.0	1.0	0.0	252.0
LAMP1	0.0	2.0	1.0	2.0	0.0	7.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	6.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	6.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0	60.0
LAMP2	0.0	2.0	4.0	2.0	0.0	5.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	5.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	7.0	2.0	0.0	0.0	0.0	21.0	0.0	0.0	60.0
LAMP3	0.0	4.0	4.0	2.0	0.0	7.0	0.0	2.0	4.0	3.0	0.0	2.0	0.0	0.0	1.0	2.0	6.0	11.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	13.0	7.0	0.0	0.0	0.0	16.0	0.0	0.0	90.0
LAMP5	1.0	4.0	4.0	0.0	0.0	4.0	1.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	1.0	3.0	15.0	8.0	0.0	4.0	0.0	0.0	0.0	3.0	1.0	29.0	0.0	0.0	1.0	0.0	15.0	0.0	0.0	101.0
LAMTOR1	0.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	20.0
LAMTOR2	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
LAMTOR3	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	18.0
LAMTOR4	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	14.0
LAMTOR5	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	8.0	1.0	0.0	2.0	0.0	5.0	1.0	0.0	34.0
LANCL1	0.0	2.0	2.0	1.0	0.0	5.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	12.0	6.0	0.0	0.0	0.0	10.0	0.0	0.0	55.0
LANCL2	1.0	6.0	6.0	4.0	0.0	11.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	6.0	11.0	0.0	0.0	0.0	18.0	0.0	0.0	82.0
LANCL3	0.0	1.0	4.0	2.0	0.0	2.0	0.0	0.0	1.0	5.0	0.0	1.0	1.0	0.0	2.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	3.0	1.0	0.0	0.0	16.0	0.0	0.0	55.0
LAP3	0.0	4.0	2.0	2.0	1.0	6.0	1.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	1.0	2.0	5.0	4.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	6.0	5.0	0.0	0.0	0.0	24.0	0.0	0.0	74.0
LAPTM4A	0.0	4.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	28.0
LAPTM4B	0.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	26.0
LAPTM5	0.0	2.0	1.0	2.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	4.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	49.0
LARGE1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LARGE2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LARP1	1.0	8.0	9.0	5.0	0.0	7.0	1.0	2.0	6.0	4.0	0.0	5.0	1.0	1.0	1.0	2.0	19.0	6.0	0.0	3.0	1.0	1.0	2.0	4.0	4.0	26.0	8.0	0.0	2.0	0.0	40.0	1.0	1.0	171.0
LARP1B	0.0	4.0	4.0	4.0	0.0	8.0	1.0	0.0	2.0	7.0	0.0	4.0	0.0	2.0	2.0	5.0	9.0	8.0	0.0	0.0	1.0	0.0	1.0	4.0	1.0	14.0	12.0	0.0	0.0	0.0	40.0	1.0	0.0	134.0
