	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
TARM1	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	21.0
TARP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TARS	0.0	9.0	9.0	3.0	0.0	8.0	0.0	6.0	3.0	6.0	0.0	2.0	1.0	0.0	0.0	2.0	13.0	9.0	0.0	5.0	2.0	0.0	3.0	3.0	1.0	18.0	8.0	0.0	1.0	0.0	29.0	1.0	0.0	142.0
TARS2	0.0	9.0	11.0	3.0	0.0	7.0	0.0	2.0	4.0	5.0	0.0	3.0	0.0	0.0	1.0	2.0	11.0	6.0	0.0	2.0	0.0	0.0	3.0	1.0	2.0	14.0	12.0	0.0	0.0	0.0	24.0	0.0	0.0	122.0
TARSL2	0.0	6.0	6.0	5.0	0.0	7.0	0.0	2.0	2.0	5.0	0.0	1.0	2.0	0.0	1.0	3.0	5.0	7.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	22.0	4.0	0.0	0.0	0.0	20.0	0.0	0.0	105.0
TAS1R1	0.0	2.0	3.0	2.0	0.0	12.0	0.0	1.0	3.0	8.0	1.0	1.0	2.0	1.0	0.0	3.0	5.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	23.0	8.0	0.0	0.0	1.0	30.0	0.0	0.0	115.0
TAS1R2	0.0	5.0	5.0	4.0	1.0	22.0	0.0	2.0	5.0	6.0	0.0	2.0	4.0	0.0	3.0	3.0	29.0	7.0	2.0	2.0	1.0	0.0	4.0	3.0	0.0	43.0	14.0	0.0	2.0	0.0	35.0	0.0	0.0	204.0
TAS1R3	0.0	14.0	1.0	4.0	0.0	13.0	0.0	1.0	1.0	4.0	1.0	3.0	3.0	0.0	1.0	4.0	6.0	6.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	15.0	11.0	1.0	1.0	0.0	16.0	1.0	0.0	113.0
TAS2R1	0.0	2.0	6.0	0.0	0.0	8.0	1.0	0.0	4.0	5.0	0.0	0.0	0.0	1.0	3.0	1.0	20.0	10.0	0.0	8.0	1.0	0.0	0.0	2.0	0.0	20.0	5.0	0.0	0.0	1.0	11.0	0.0	0.0	109.0
TAS2R10	0.0	0.0	5.0	2.0	0.0	7.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	8.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	10.0	4.0	0.0	0.0	0.0	29.0	0.0	0.0	80.0
TAS2R13	0.0	2.0	2.0	1.0	0.0	7.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	40.0
TAS2R14	0.0	2.0	3.0	0.0	0.0	4.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	13.0	7.0	0.0	0.0	1.0	16.0	0.0	0.0	64.0
TAS2R16	0.0	4.0	6.0	2.0	0.0	4.0	2.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0	17.0	7.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	15.0	8.0	0.0	0.0	0.0	14.0	0.0	0.0	93.0
TAS2R19	0.0	0.0	5.0	3.0	0.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0	51.0
TAS2R20	0.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	5.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	3.0	1.0	1.0	0.0	0.0	14.0	1.0	0.0	47.0
TAS2R3	1.0	3.0	3.0	2.0	1.0	4.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	3.0	0.0	0.0	0.0	17.0	1.0	0.0	55.0
TAS2R30	0.0	4.0	1.0	0.0	0.0	6.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	11.0	1.0	0.0	47.0
TAS2R31	1.0	4.0	6.0	0.0	1.0	3.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	42.0
TAS2R38	0.0	1.0	2.0	0.0	0.0	6.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	9.0	5.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	25.0	6.0	0.0	0.0	0.0	20.0	0.0	0.0	88.0
TAS2R39	0.0	3.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	14.0	3.0	0.0	0.0	0.0	18.0	0.0	0.0	67.0
TAS2R4	0.0	2.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	6.0	5.0	0.0	0.0	0.0	9.0	0.0	0.0	35.0
TAS2R40	1.0	3.0	2.0	0.0	0.0	4.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	8.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	6.0	3.0	1.0	0.0	0.0	15.0	0.0	0.0	59.0
TAS2R41	0.0	3.0	1.0	3.0	1.0	4.0	0.0	0.0	4.0	3.0	0.0	0.0	1.0	0.0	3.0	2.0	16.0	14.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	20.0	3.0	0.0	0.0	0.0	14.0	0.0	0.0	95.0
TAS2R42	0.0	1.0	2.0	3.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	49.0
TAS2R43	0.0	1.0	3.0	1.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	3.0	1.0	0.0	0.0	5.0	0.0	0.0	28.0
TAS2R46	0.0	3.0	3.0	0.0	0.0	2.0	0.0	3.0	0.0	6.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	6.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	43.0
TAS2R5	1.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	6.0	3.0	0.0	0.0	0.0	10.0	0.0	0.0	39.0
TAS2R50	1.0	4.0	2.0	2.0	0.0	5.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	2.0	3.0	0.0	4.0	1.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	20.0	1.0	0.0	59.0
TAS2R60	0.0	4.0	2.0	1.0	0.0	3.0	0.0	3.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	9.0	13.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	31.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	96.0
TAS2R7	0.0	2.0	2.0	2.0	0.0	5.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	10.0	4.0	0.0	1.0	0.0	20.0	0.0	0.0	64.0
TAS2R8	0.0	1.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0	1.0	0.0	1.0	0.0	10.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	50.0
