"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"PKP4",12,23,1,0,0,0.897904960125398,0.394985552301131,0.394985552301131,0,0.750795960049307,0.303021547036329,0.587992732134387,1,0.947354897597017,0.846456996062793,0.851607295989557,0.90024079918964,0.999999998458921
"BCL2L14",1,3,0,0,0,0.617522742955006,0,0,0,0.549918162672326,0.348495051218969,0.588074074181531,1,0.883278165580663,0.846456996062793,0.851607295989557,0.900283989500491,0.999999998458921
"FOXR2",4,13,2,0,0,1.0880295003793,2.45966926229607,2.45966926229607,0,0.862183008514457,0.308837387788417,0.588105595703782,1,0.971092484114782,0.846456996062793,0.851607295989557,0.900300723506343,0.999999998458921
"FBXO10",9,15,2,0,0,0.750592822350824,1.51073214944197,1.51073214944197,0,0.471485903785765,0.608609695582508,0.588142020793733,1,0.848874058079341,0.846879710217236,0.851607295989557,0.900320058592279,0.999999998458921
"C16orf90",2,8,1,0,0,1.64214070597556,2.65928882965339,2.65928882965339,0,0.400866234193454,0.428625130538136,0.588190104405377,1,0.812055019308137,0.846456996062793,0.851607295989557,0.90034557877451,0.999999998458921
"FAM170A",14,22,3,0,0,0.75612722050496,1.22208664955601,1.22208664955601,0,0.397348700070511,0.755210310169795,0.58823635291918,1,0.809812612407855,0.878775069015484,0.851607295989557,0.900370121277388,0.999999998458921
"ALX4",7,9,1,0,0,0.621472873530922,0.950955503702942,0.950955503702942,0,0.31232837430488,0.961652992208029,0.588241067019643,1,0.757738623739157,0.980192291941125,0.851607295989557,0.900372622684898,0.999999998458921
"SDC4",4,5,0,0,0,0.786370196912119,0,0,0,0.688500527912779,0.319919337827767,0.588381908333464,1,0.928911055575837,0.846456996062793,0.851607295989557,0.900447338823404,0.999999998458921
"BCL2L2-PABPN1",3,6,0,0,0,1.09014901970411,0,0,0,0.885417175265976,0.324596227051047,0.588434295568877,1,0.977144546458045,0.846456996062793,0.851607295989557,0.900475121582815,0.999999998458921
"CPS1",23,46,2,1,0,0.891130950238383,0.561463324446706,0.561463324446706,0,0.643862921974807,0.308172069679734,0.588502054254982,1,0.913995802126944,0.846456996062793,0.851607295989557,0.900511049435779,0.999999998458921
"PARP16",4,6,0,0,0,0.949556096168424,0,0,0,0.928009249381473,0.303925956070179,0.588506956429394,1,0.987442868191521,0.846456996062793,0.851607295989557,0.900513648425002,0.999999998458921
"KRTAP5-3",7,10,0,0,0,0.90041149720615,0,0,0,0.818608072393798,0.305652306329512,0.588515841514933,1,0.963290003875949,0.846456996062793,0.851607295989557,0.900518358932914,0.999999998458921
"IFNA7",5,9,0,0,0,0.881155982676622,0,0,0,0.800846906170166,0.305858482272285,0.588625566027917,1,0.959726525014304,0.846456996062793,0.851607295989557,0.900576519312804,0.999999998458921
"HAUS2",1,4,0,0,0,1.63894838496997,0,0,0,0.508689240471988,0.488489593671283,0.588750489219441,1,0.865807319220693,0.846456996062793,0.851607295989557,0.9006427109779,0.999999998458921
"ERVFRD-1",0,6,0,0,0,1.65103450585818,0,0,0,0.510767858103074,0.510853476640459,0.588792231054166,1,0.866709209218653,0.846456996062793,0.851607295989557,0.900664822352143,0.999999998458921
"SCP2D1",4,12,1,0,0,1.50347870357818,2.5179941482994,2.5179941482994,0,0.401188513812319,0.443335960657099,0.588853896542722,1,0.812055019308137,0.846456996062793,0.851607295989557,0.9006974822166,0.999999998458921
