"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"SNAPC2",0,0,0,0,0,0,0,0,0,0.341242562018751,0.791713690274057,0.617523555315551,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915193414979393,0.999999787711459
"ZNF627",1,3,0,0,0,1.9661463497075,0,0,0,0.398173418625736,0.660761987684084,0.617615430720881,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915237695587703,0.999999787711459
"LYPLA1",0,0,0,0,0,0,0,0,0,0.353242308371231,0.728216218819209,0.617635170049071,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915247207443224,0.999999787711459
"SIGLEC9",1,1,0,0,0,0.419241797912978,0,0,0,0.410350198066502,0.543199070592336,0.617654757853158,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915256645659708,0.999999787711459
"RAB30",0,0,0,0,0,0,0,0,0,0.345912018097383,0.764961901528398,0.617725765876586,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91529085506323,0.999999787711459
"SP100",2,4,0,0,0,1.14261531183638,0,0,0,0.84630367807305,0.355441486404604,0.617752438425042,1,0.955605417645458,0.904340106794148,0.951742928042244,0.915303702938438,0.999999787711459
"PPP2R3A",3,4,1,0,0,0.856940897743225,2.99772846718978,2.99772846718978,0,0.813483137857802,0.374194628819216,0.617755933339117,1,0.945828426008657,0.904340106794148,0.951742928042244,0.915305386315031,0.999999787711459
"SUGT1",0,0,0,0,0,0,0,0,0,0.35708204775327,0.712388883479691,0.617797192698844,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91532525799591,0.999999787711459
"SLC4A9",3,3,0,0,0,0.692298029533821,0,0,0,0.602599675644074,0.374683632479115,0.617809339423612,1,0.876136372286108,0.904340106794148,0.951742928042244,0.915331107678932,0.999999787711459
"PHF20L1",0,3,0,0,0,1.87470510717239,0,0,0,0.461805357124229,0.577148404676201,0.617831674075383,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915341863093667,0.999999787711459
"CEP128",3,4,0,0,0,0.938042653916024,0,0,0,0.922290669830581,0.326738241908358,0.617846258720964,1,0.979839344697066,0.904340106794148,0.951742928042244,0.915348886000537,0.999999787711459
"PTX3",0,0,0,0,0,0,0,0,0,0.340187312435778,0.800690393299009,0.617864420852622,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915357631083767,0.999999787711459
"ARRDC4",0,0,0,0,0,0,0,0,0,0.344310994924872,0.774776951680421,0.617873209608701,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915361862686285,0.999999787711459
"ZNF318",4,8,0,0,0,1.29366015062275,0,0,0,0.624565280945826,0.428981597061326,0.617890320101024,1,0.882351473382795,0.904340106794148,0.951742928042244,0.915370100672416,0.999999787711459
